RECHTSTRAEGER;QUARTAL;BEKANNTGABE;LEERMELDUNG;MEDIUM_MEDIENINHABER;EURO
Österreichischer Rundfunk;20123;2;0;tele;38960
Österreichischer Rundfunk;20123;2;0;The Gap;10100
Österreichischer Rundfunk;20123;2;0;GEWINN;6192
Österreichischer Rundfunk;20123;2;0;tv-media;90534.25
Österreichischer Rundfunk;20123;2;0;Österreich;245941.25
Österreichischer Rundfunk;20123;2;0;Vorarlberger Medienhaus;10794
Österreichischer Rundfunk;20123;2;0;VOR Magazin;6000
Österreichischer Rundfunk;20123;2;0;Das Wiener Bezirksblatt;10750
Österreichischer Rundfunk;20123;2;0;Woman;83699.31
Österreichischer Rundfunk;20123;2;0;Xpress;14586.39
Österreichisches Patentamt;20123;2;0;invent;23500
Ausgleichstaxfonds;20123;2;0;Bezirksrundschau Oberösterreich;5404.63
Ausgleichstaxfonds;20123;2;0;die wirtschaft;8241.8
Ausgleichstaxfonds;20123;2;0;Heute;46666.63
Ausgleichstaxfonds;20123;2;0;Kleine Zeitung;29521.89
Ausgleichstaxfonds;20123;2;0;Kronen Zeitung;62199.09
Ausgleichstaxfonds;20123;2;0;Kurier;26781.38
Ausgleichstaxfonds;20123;2;0;NÖN;18562.88
Ausgleichstaxfonds;20123;2;0;OÖ Nachrichten;18522.76
Ausgleichstaxfonds;20123;2;0;Österreich;42086.05
Ausgleichstaxfonds;20123;2;0;Salzburger Nachrichten;26963.84
Ausgleichstaxfonds;20123;2;0;Tips Oberösterreich;6397.07
Ausgleichstaxfonds;20123;2;0;Tiroler Tageszeitung;25425.3
Ausgleichstaxfonds;20123;2;0;Das Wiener Bezirksblatt;6018.43
Ausgleichstaxfonds;20123;2;0;Woche Steiermark;14052.09
Ausgleichstaxfonds;20123;2;0;diepresse.com;5100
Ausgleichstaxfonds;20123;2;0;kleinezeitung.at;13017.45
Ausgleichstaxfonds;20123;2;0;www.krone.at;17486.95
Ausgleichstaxfonds;20123;2;0;www.kurier.at;11325
Ausgleichstaxfonds;20123;2;0;www.nachrichten.at (OÖNachrichten);13725.05
Ausgleichstaxfonds;20123;2;0;www.oe24.at;23709.69
Ausgleichstaxfonds;20123;2;0;www.salzburg.com (Salzburger Nachrichten);8149.37
Ausgleichstaxfonds;20123;2;0;www.tt.com;11310
Austrian Business Agency österreichische Industrieansiedlungs- und WirtschaftswerbungsgmbH;20123;2;0;Capital;39755
Austrian Business Agency österreichische Industrieansiedlungs- und WirtschaftswerbungsgmbH;20123;2;0;Il Sole 24 Ore;8330
Austrian Business Agency österreichische Industrieansiedlungs- und WirtschaftswerbungsgmbH;20123;2;0;Impulse;23112
Austrian Business Agency österreichische Industrieansiedlungs- und WirtschaftswerbungsgmbH;20123;2;0;Manager Magazin;25840
Austrian Business Agency österreichische Industrieansiedlungs- und WirtschaftswerbungsgmbH;20123;2;0;Neue Zürcher Zeitung;16683.24
Austrian Business Agency österreichische Industrieansiedlungs- und WirtschaftswerbungsgmbH;20123;2;0;Wirtschaftswoche;34821.1
Austrian Development Agency;20123;2;0;Kurier;6515.06
